code_new,metrics,definitions
qfs43_01,Ratio of administrative to firefighter FTEs,[Approved administration FTEs] divided by [Approved firefighter FTEs].
qfs44,Amount spent on preventive measures,"Total amount spent in the fiscal year on fire-prevention measures, including staff (code-enforcement officers, life-safety educators, and community-outreach personnel) and risk-reduction supplies (handout literature, sprinkler installation, videos, and signage)."
qfs44_01,Amount spent on preventive measures as a percentage of operational expenses,[Amount spent on preventive measures] divided by [Operational expenses for Fire Services] and multiplied by 100.
qfs45,Personnel expenses for Fire Services,"Total amount of personnel expenses for fire services in the fiscal year. This includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unit’s share of all overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurance, disability insurance, unemployment compensation, workers’ compensation contributions, deferred compensation, and other benefits."
qfs46,Operational expenses for Fire Services ,"Total amount of operational expenses for fire services in the fiscal year. This includes non-capital outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, and sublet work; and all other operating expenses."
qfs46_01,Personnel expenses as a percentage of total fire service expenses,[Operational expenses for Fire Services] divided by [Total expenses for fire service] and multiplied by 100.
qfs46_02,Total expenses for fire service per capita,"[Total expenses for fire service] divided by [Population, 2020]."
qfs46_03,Total expenses for fire service,[Personnel expenses for Fire Service] + [Operational expenses for Fire Service].
qhr01,Full-time positions,Total number of authorized or approved full-time government positions in the jurisdiction in the fiscal year.
qhr01_01,Full-time positions per capita,"[Full-time positions] divided by [Population, 2020]."
qhr02,Part-time positions,Total number of authorized or approved regular part-time positions (eligible for some benefits) in the jurisdiction in the fiscal year.
qhr02_01,Ratio of part-time to full-time positions,[Part-time positions] divided by [Full-time positions per capita].
qhr03,Full-time recruitments,"Total number of full-time requisitioned recruitments completed by HR during the fiscal year (i.e., the number of recruitments per year). Although multiple positions can be included in a single requisition, this metric represents each individual position."
qhr03_01,Full-time recruitments as a percentage of full-time positions,[Full-time recruitments] divided by [Full-time positions] and multiplied by 100.
qhr04,Part-time recruitments,"Total number of regular part-time recruitments (eligible for some benefits) completed by HR during the fiscal year (i.e., the number of recruitments per year). Although multiple positions can be included in a single requisition, this metric represents each individual position."
qhr04_01,Part-time recruitments as a percentage of part-time positions,[Part-time recruitments] divided by [Part-time positions] and multiplied by 100.
qhr05,Temporary recruitments,"Total number of temporary recruitments and part-time employees not eligible for benefits (including temporary, grant, and contingent workers not eligible for benefits) completed by HR during the fiscal year (i.e., the number of recruitments per year). Although multiple positions can be included in a single requisition, this metric represents each individual position. Leave blank if not collected."
qhr05_01,Ratio of temporary to full-time recruitments,[Temporary recruitments] divided by [Full-time positions].
qhr06,Average length of service of full-time employees,"Average length of service in months, from date of most recent hire, for all full-time employees."
qhr07,Average length of service of part-time employees,"Average length of service in months, from date of most recent hire, for all regular part-time employees eligible for some benefits. This does not include temporary workers."
qhr08,Average length of service of temporary employees,"Average length of service in months, from date of most recent hire, for all part-time and temporary employees not eligible for benefits (including grant, half-time, and contingent workers)."
qhr09,Vacancies (full-time),Total number of vacant slots for full-time positions that needed to be filled in the fiscal year.
qhr09_01,Full-time vacancies as a percentage of full-time positions,[Vacancies (full-time)] divided by [Full-time positions] and multiplied by 100.
qhr10,Vacancies (part-time),Total number of vacant slots for part-time positions (eligible for some benefits) that needed to be filled in the fiscal year.
qhr10_01,Part-time vacancies as a percentage of part-time positions,[Vacancies (part-time)] divided by [Part-time positions] and multiplied by 100.
qhr11,Median time to fill full-time position,Median time in days to fill full-time positions in the fiscal year from the day a position is posted to the time an offer letter is signed by the candidate.
qhr12,Median time to fill part-time position,Median time in days to fill part-time positions (eligible for some benefits) in the fiscal year from the day a position is posted to the time an offer letter is signed by the candidate.
qhr13,Employment offers rejected,Total number of employment offers in the fiscal year rejected or denied by candidates for any reason.
qhr13_01,Employment offers rejected as a percentage of full-time recruitments,[Employment offers rejected] divided by [Full-time recruitments] and multiplied by 100.
qhr14,Employment offers rescinded,"Total number of employment offers in the fiscal year rescinded for any reason (failed background check, drug testing, etc.)."
qhr14_01,Employment offers rescinded as a percentage of full-time recruitments,[Employment offers rescinded] divided by [Full-time recruitments] and multiplied by 100.
qhr15,Offers rejected due to salary (optional),Total number of employment offers in the fiscal year rejected or denied by candidates citing salary as the reason. This includes instances when an employee accepts a counteroffer.
qhr16,Offers rejected due to benefits (optional),Total number of employment offers in the fiscal year rejected or denied by candidates citing benefits as the reason.
qhr17,Offers rejected due to workplace flexibility (optional),"Total number of employment offers in the fiscal year rejected or denied by candidates citing workplace flexibility (lack of opportunity for remote work, mandatory night shifts, weekend work, etc.) as the reason."
qhr18,Full-time employee separations,Total number of full-time employees who left during the fiscal year.
qhr18_01,Full-time employee separations as a percentage of full-time positions,[Full-time employee separations] divided by [Full-time positions] and multiplied by 100.
qhr19,Part-time employee separations,Total number of regular part-time employees (eligible for some benefits) who left during the fiscal year. This does not include temporary workers.
qhr19_01,Part-time employee separations as a percentage of part-time positions,[Part-time employee separations] divided by [Part-time positions] and multiplied by 100.
qhr20,Voluntary full-time separations,Total number of  full-time employees who left voluntarily (including retirements) during the fiscal year. This includes employees who resigned in lieu of termination.
qhr20_01,Voluntary full-time separations as a percentage of full-time separations,[Voluntary full-time separations] divided by [Full-time employee separations] and multiplied by 100.
qhr21,Voluntary part-time separations,Total number of regular part-time employees (eligible for some benefits) who left voluntarily (including retirements) during the fiscal year. This includes employees who resigned in lieu of termination. This does not include temporary workers not eligible for benefits.
qhr21_01,Voluntary part-time separations as a percentage of part-time separations,[Voluntary part-time separations] divided by [Part-time employee separations] and multiplied by 100.
qhr22,Full-time retirements,Total number of full-time employees who retired during the fiscal year. This does not include temporary workers.
qhr22_01,Full-time retirements as a percentage of voluntary full-time separations,[Full-time retirements] divided by [Full-time employee separations] and multiplied by 100.
qhr23,Part-time retirements,Total number of regular part-time employees (eligible for some benefits) who retired during the fiscal year. This does not include temporary workers. Leave blank if not collected.
qhr23_01,Part-time retirements as a percentage of voluntary part-time separations,[Part-time retirements] divided by [Part-time employee separations] and multiplied by 100.
qhr24,Reclassification requests received for vacant positions (optional),Total number of reclassification requests received for vacant positions in the fiscal year.
qhr25,Reclassification requests received for active employees (optional),Total number of reclassification requests received for active employees in the fiscal year.
qhr26,Participation in internal training and development,"Total number of employees participating in training and development opportunities offered by the HR department in the fiscal year. This captures unique instances of participation in the fiscal year. For example, providing 10 training sessions for 50 employees would total 500 instances of participation."
qhr27,Hours of internal training and development,"Total number of hours of training and development offered by the HR department in the fiscal year. This reflects the total hours of mandatory or voluntary training provided for each employee multiplied by the number of employees. For example, providing 24 hours of training for 10 employees each fiscal year would total 240 hours of training."
qhr28,Full-time employees completing probationary period,Total number of new full-time employees who completed their probationary period in the fiscal year.
qhr28_01,Full-time employees completing probationary period as a percentage of full-time recruitments,[Full-time employees completing probationary period] divided by [Full-time recruitments] and multiplied by 100.
qhr29,Percent of pay plan increment,"Percent across-the-board increase in annual pay for all employees, including cost of living adjustment (COLA) and pay plan adjustment in the fiscal year. This does not include increments due to promotion, performance pay, career ladder/progression, advancement, re-assignment, etc."
qhr30,Median percent of performance-based pay increment (optional),"Median percentage increase in annual pay due to performance/merit pay in the fiscal year. This does not include increments due to cost of living adjustment (COLA), promotion, career ladder/progression, advancement, re-assignment, etc."
qhr31,Grievances received,Number of formal written grievances filed by employees during the fiscal year.
qhr31_01,Grievances received per full-time position,[Grievances received] divided by [Full-time positions].
qhr32,Approved FTEs in jurisdiction government,"Total full-time equivalents (FTEs), filled or unfilled, approved for the jurisdiction government for the fiscal year. This includes all approved, regularly scheduled full-time positions and regular part-time positions eligible for full benefits (but does not include seasonal or part-time positions not eligible for full benefits)."
qhr32_01,FTEs in jurisdiction government per capita,"[Approved FTEs in jurisdiction government] divided by [Population, 2020]."
qhr33,Approved FTEs for HR,"Total full-time equivalents (FTEs), filled or unfilled, approved for the HR department for the fiscal year. This includes all approved, regularly scheduled full-time positions and regular part-time positions eligible for full benefits (but does not include seasonal or part-time positions not eligible for full benefits)."
qhr33_01,Ratio of jurisdiction to HR FTEs,[Approved FTEs in jurisdiction government] divided by [Approved FTEs for HR].
qhr34,Medical coverage premium cost,Total medical and prescription coverage premium costs incurred by the jurisdiction for all fully benefitted employees in the fiscal year.
qhr35,Medical coverage claims cost,"Total medical and prescription coverage claims cost incurred by the jurisdiction for all fully benefitted employees in the fiscal year, including dependents."
qhr36,Personnel expenses for Central Human Resources,"Total amount of personnel expenses for central HR in the fiscal year. This includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unit’s share of overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurance, disability insurance, unemployment compensation, workers’ compensation contributions, deferred compensation, and other benefits."
qhr37,Operational expenses for Central Human Resources,"Total amount of operational expenses for central HR in the fiscal year. This includes non-capital outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, and sublet work; and all other operating expenses."
qhr37_01,Personnel expenses as a percentage of total central human resources expenses,[Personnel expenses for Central Human Resources] divided by [Total expenses for central human resources] and multiplied by 100.
qhr37_02,Expenses for central human resources per capita,"[Total expenses for central human resources] divided by [Population, 2020]."
qhr37_03,Total expenses for central human resources,[Personnel expenses for Central Human Resources] + [Operational expenses for Central Human Resources].
qpr01,Park acreage,Total number of acres of park land  maintained in the fiscal year.
qpr01_01,Park acreage per capita,"[Park acreage] divided by [Population, 2020]."
qpr02,Playgrounds,Total number of playgrounds maintained in the fiscal year.
qpr02_01,Playgrounds per capita,"[Playgrounds] divided by [Population, 2020]."
qpr03,Miles of greenway,Total mileage of greenways maintained in the fiscal year.
qpr03_01,Miles of greenway per capita,"[Miles of greenway] divided by [Population, 2020]."
qpr04,Recreation centers,Total number of recreation centers providing a variety of indoor recreation activities maintained in the fiscal year.
qpr04_01,Recreation centers per capita,"[Recreation centers] divided by [Population, 2020]."
qpr05,Swimming pools,"Total number of swimming pools maintained in the fiscal year. Enter ""0"" if no pools are maintained."
qpr05_01,Swimming pools per capita,"[Swimming pools] divided by [Population, 2020]."
qpr06,Athletic fields,"Total number of rectangular fields (e.g., soccer and football), diamond fields (baseball), and undesignated fields that can be used for multiple activities maintained in the fiscal year. This includes both natural-grass and artificial-surface fields."
qpr06_01,Athletic fields per capita,"[Athletic fields] divided by [Population, 2020]."
qpr07,Courts,"Total number of indoor or outdoor tennis, basketball, and pickleball courts maintained in the fiscal year. Each court should be counted separately based on use; for example, a combination tennis/basketball court should be counted as two courts."
qpr07_01,Courts per capita,"[Courts] divided by [Population, 2020]."
qpr08,Number of lakes,Number of lakes maintained in the fiscal year.
qpr09,Acreage of lakes,Acreage of lakes maintained in the fiscal year.
qpr09_01,Acreage of lakes per capita,"[Acreage of lakes] divided by [Population, 2020]."
qpr10,Mileage of natural surface trails,Total mileage of natural surface trails maintained in the fiscal year.
qpr10_01,Mileage of natural surface trails per capita,"[Mileage of natural surface trails] divided by [Population, 2020]."
qpr11,Outdoor fitness equipment,Total number of individual or separate pieces of outdoor fitness equipment maintained in the fiscal year.
qpr12,Splashpads,Total number of splashpads maintained in the fiscal year.
qpr13,Water features other than splashpads,Total number of water features other than splashpads and swimming pools maintained in the fiscal year. This may include water fountains that are not meant for drinking.
qpr14,Active-adult centers,Total number of active-adult centers maintained in the fiscal year.
qpr14_01,Active-adult centers per capita,"[Active-adult centers] divided by [Population, 2020]."
qpr15,Acreage of naturalized open space without public access,Total number of acres of natural open space without public access maintained in the fiscal year.
qpr16,Acreage of public access naturalized green space,"Total number of acres of naturalized green space with public access (usually includes trails, benches, and toilets) maintained in the fiscal year."
qpr17,Public gardens,Total number of public gardens maintained in the fiscal year.
qpr18,Specialty facilities,"Total number of specialty facilities, such as hockey rinks, climbing walls, ziplines, etc., maintained in the fiscal year."
qpr19,Recreational facilities participation,"Total number of people using recreational facilities, such as swimming pools, gyms, and courts for indoor sports and youth or adult league activities, etc., in the fiscal year. This is the total ""door count"" at all recreation centers (not by unique participants) and includes all activities and usage numbers."
qpr19_01,Recreational facilities participation per capita,"[Recreational facilities participation] divided by [Population, 2020]."
qpr20,Athletic programs participation,"Total number of participants in refereed sports competitions, such as soccer, tennis, and volleyball games or running club races, in the fiscal year. Participation numbers are entered separately for each competition even if multiple competitions are part of an overall program. This includes contracted-provider programs and those offered by the jurisdiction."
qpr20_01,Athletic programs participation per capita,"[Athletic programs participation] divided by [Population, 2020]."
qpr21,Non-athletic programs participation,"Total number of participants in non-athletic programs in the fiscal year. These are registration-required programs that do not involve competition between participants, score-keeping, referees, or teams. The programs may include robotics, card-making, Zumba and exercise classes, senior programming, fitness training, pottery, cooking, ballet, art, photography, youth engagement, and special-populations programming. Participation numbers are entered separately for each non-athletic program, even if multiple programs are part of a larger program; for example, a summer camp that includes activities in robotics and pottery should yield two participation counts, one for each activity. This includes contracted-provider programs and those offered by the jurisdiction."
qpr21_01,Non-athletic programs participation per capita,"[Non-athletic programs participation] divided by [Population, 2020]."
qpr22,Community events participation,"Total estimated number of participants in community events organized by the department, such as movie nights and festivals. Community events do not necessarily require registration. Participation numbers are entered separately for each event, even if multiple events are a part of an overall program. This includes contracted-provider programs and those offered by the jurisdiction."
qpr22_01,Community events participation per capita,"[Community events participation] divided by [Population, 2020]."
qpr23,Active-adults participation,Total number of individuals participating in programming for individuals aged 50+ in the fiscal year.
qpr23_01,Active-adults participation per capita,"[Active-adults participation] divided by [Population, 2020]."
qpr24,Percentage of participants receiving a subsidy - athletics,"Percentage of participants receiving any subsidy (scholarships, reduced fees, etc.) to join athletic programing in the fiscal year."
qpr25,Percentage of participants receiving a subsidy - non-athletics,"Percentage of participants receiving any subsidy (scholarships, reduced fees, etc.) for non-athletic programing such as after-school and summer camps in the fiscal year."
qpr26,"Events with over 1,000 participants","Total number of special and community events in the fiscal year with attendance of more than 1,000 people (estimated)."
qpr26_01,"Events with over 1,000 participants per capita","[Events with over 1,000 participants] divided by [Population, 2020]."
qpr27,Percentage of population within 0.5 miles of parks and facilities (optional),"Percentage of the population that lives within 10 minutes' walking distance (or 0.5 miles) from parks, open space, parks with passive recreation, or maintained facilities, including recreation centers, swimming pools, courts, etc. Use the latest available data."
qpr28,Percentage of population within 0.5 miles of greenways and trails (optional),Percentage of the population that lives within 10 minutes' walking distance (or 0.5 miles) from all maintained greenways and trails. Use the latest available data.
qpr29,Part-time parks and recreation employees,Total number of authorized or approved regular part-time parks and recreation positions (eligible for full benefits) in the fiscal year.
qpr29_01,Ratio of parks and recreation part-time positions to FTEs,[Part-time parks and recreation employees] divided by [Approved parks and recreation FTEs].
qpr30,Temporary parks and recreation employees,"Total number of temporary and part-time employees NOT eligible or only partially eligible for benefits (including temporary, grant, and contingent workers not eligible for benefits) in the fiscal year."
qpr30_01,Ratio of parks and recreation temporary positions to FTEs,[Temporary parks and recreation employees] divided by [Approved parks and recreation FTEs].
qpr31,Volunteers in parks and recreation,Total number of volunteers who worked with parks and recreation in the fiscal year.
qpr31_01,Ratio of parks and recreation volunteers to FTEs,[Volunteers in parks and recreation] divided by [Approved parks and recreation FTEs].
qpr32,Approved parks and recreation FTEs,"Total approved parks and recreation full-time equivalent (FTE) positions, filled or unfilled, for the fiscal year. This includes approved, regularly scheduled full-time  and regular part-time positions eligible for full benefits (but does not include seasonal or part-time positions not eligible for full benefits)."
qpr32_01,Approved parks and recreation FTEs per capita,"[Approved parks and recreation FTEs] divided by [Population, 2020]."
qpr33,Training and development expenses,"Total amount spent on training and development in the fiscal year. This includes staff dedicated to training and professional development; supplies and maintenance (textbooks, literature subscriptions, consumables, maintenance to buildings or equipment, etc.); and funds spent on training and conference attendance."
qpr33_01,Training and development expenses per FTE,[Training and development expenses] divided by [Approved parks and recreation FTEs].
qpr34,Recreation expenses,"Total operational expenses for recreation activities in the fiscal year. This includes  nature-based programming, history-based programming, and traditional recreational programming. It does NOT include maintenance expenses for athletics fields, playground equipment, etc."
qpr34_01,Recreation expenses as a percentage of total expenses,[Recreation expenses] divided by [Total expenses for parks and recreation] and multiplied by 100.
qpr35,Revenue generated,"Total revenue generated by parks and recreation in the fiscal year, including user fees for facilities, rentals, concessions, and program participation."
qpr35_01,Revenue generated as a percentage of total expenses,[Revenue generated] divided by [Total expenses for parks and recreation] and multiplied by 100.
qpr36,Personnel expenses for Parks and Recreation ,"Total amount of personnel expenses for parks and recreation in the fiscal year. This includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unit’s share of overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurance, disability insurance, unemployment compensation, workers’ compensation contributions, deferred compensation, and other benefits."
qpr37,Operational expenses for Parks and Recreation ,"Total amount of operational expenses for parks and recreation in the fiscal year. This includes non-capital outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, and sublet work; and all other operating expenses."
qpr37_01,Personnel expenses as a percentage of total parks and recreation expenses,[Personnel expenses for Parks and Recreation] divided by [Total expenses for parks and recreation] and multiplied by 100.
qpr37_02,Expenses for parks and recreation per capita,"[Total expenses for parks and recreation] divided by [Population, 2020]."
qpr37_03,Total expenses for parks and recreation,[Personnel expenses for Parks and Recreation] + [Operational expenses for Parks and Recreation].
qps01,Reported aggravated assaults,Total number of aggravated assault incidents reported to the Uniform Crime Reporting Program’s Summary Reporting System (SRS).
qps01_01,Reported aggravated assaults per capita,"[Reported aggravated assaults] divided by [Population, 2020] and multiplied by 10000."
qps02,Reported rapes,Total number of rape incidents reported to the Uniform Crime Reporting Program’s Summary Reporting System (SRS).
qps02_01,Reported rapes per capita,"[Reported rapes] divided by [Population, 2020] and multiplied by 10000."
qps03,Reported murders,Total number of murder incidents reported to the Uniform Crime Reporting Program’s Summary Reporting System (SRS).
qps03_01,Reported murders per capita,"[Reported murders] divided by [Population, 2020] and multiplied by 10000."
qps04,Reported robberies,Total number of robbery incidents reported to the Uniform Crime Reporting Program’s Summary Reporting System (SRS).
qps04_01,Reported robberies per capita,"[Reported robberies] divided by [Population, 2020] and multiplied by 10000."
qps04_02,Total violent crime,[Reported aggravated assaults] + [Reported rapes] + [Reported murders] + [Reported robberies].
qps05,Reported arsons,Total number of arson incidents reported to the Uniform Crime Reporting Program’s Summary Reporting System (SRS).
qps05_01,Reported arsons per capita,"[Reported arsons] divided by [Population, 2020] and multiplied by 10000."
qps06,Reported burglaries,Total number of burglary incidents reported to the Uniform Crime Reporting Program’s Summary Reporting System (SRS).
qps06_01,Reported burglaries per capita,"[Reported burglaries] divided by [Population, 2020] and multiplied by 10000."
qps07,Reported larcenies,Total number of larceny and theft incidents reported to the Uniform Crime Reporting Program’s Summary Reporting System (SRS).
qps07_01,Reported larcenies per capita,"[Reported larcenies] divided by [Population, 2020] and multiplied by 10000."
qps08,Reported motor vehicle thefts,Total number of motor vehicle theft incidents reported to the Uniform Crime Reporting Program’s Summary Reporting System (SRS). This does not include unauthorized use of vehicle.
qps08_01,Reported motor vehicle thefts per capita,"[Reported motor vehicle thefts] divided by [Population, 2020] and multiplied by 10000."
qps08_02,Total property crimes,[Reported arsons] + [Reported burglaries] + [Reported larcenies] + [Reported motor vehicle thefts].
qps09,Victims of crimes against persons,"Total number of victims of crime against persons reported to NIBRS. This includes all victims under Group A offense codes13A, 13B, 13C, 09A, 09B, 09C, 100, 11A, 11B, 11C, 11D, 36A, and 36B. See this link for a definition: https://ucr.fbi.gov/nibrs/2011/resources/nibrs-offense-codes."
qps09_01,Victims of crimes against persons per capita,"[Victims of crimes against persons] divided by [Population, 2020]."
qps10,Juvenile offenders,Total number of juvenile offenders reported in the fiscal year.
qps10_01,Juvenile offenders per capita,"[Juvenile offenders] divided by [Population, 2020]."
qps11,Juvenile victims,Total number of juvenile victims reported in the fiscal year.
qps11_01,Juvenile victims per capita,"[Juvenile victims] divided by [Population, 2020]."
qps12,Active homicide cases,Total number of active homicide cases in the fiscal year.
qps12_01,Active homicide cases per sworn officer FTE,[Active homicide cases] divided by [Approved sworn officer FTEs].
qps13,Homicide cases cleared by arrest,"Total number of homicide cases cleared by arrest and charging of at least one person involved in the commission of an offense (does not include exceptional clearances). As reported to the FBI's UCR, a case is cleared when a law enforcement agency reports that an offense is cleared by arrest, or solved for crime reporting purposes, when the following conditions have been met: at least one person has been arrested, charged with the commission of the offense, or turned over to the court for prosecution (whether following arrest, court summons, or police notice)."
qps13_01,Homicide cases cleared by arrest as a percentage of active homicide cases,[Homicide cases cleared by arrest] divided by [Active homicide cases] and multiplied by 100.
qps14,Homicide cases cleared,"Total number of homicide cases cleared or closed in the fiscal year as reported to the FBI’s Uniform Crime Reporting (UCR) Program. This includes all cases cleared and closed for any reason (arrests, exceptional means, etc.)."
qps14_01,Homicide cases cleared as a percentage of active homicide cases,[Homicide cases cleared] divided by [Active homicide cases] and multiplied by 100.
qps15,Violent crimes cleared by arrests,"Total number of UCR Part I violent crime incidents cleared by arrest and charging of at least one person involved in the commission of an offense (does not include exceptional clearances). As reported to the FBI's UCR, a case is cleared when a law enforcement agency reports that an offense is cleared by arrest, or solved for crime reporting purposes, when the following conditions have been met: at least one person has been arrested, charged with the commission of the offense, or turned over to the court for prosecution (whether following arrest, court summons, or police notice)."
qps15_01,Violent crimes cleared by arrests as a percentage of violent crime,[Violent crimes cleared by arrests] divided by [Total property crimes] and multiplied by 100.
qps16,Property crimes cleared by arrests,"Total number of UCR Part I property crime incidents cleared by arrest and charging of at least one person involved in the commission of an offense (does not include exceptional clearances). As reported to the FBI's UCR, a case is cleared when a law enforcement agency reports that an offense is cleared by arrest, or solved for crime reporting purposes, when the following conditions have been met: at least one person has been arrested, charged with the commission of the offense, or turned over to the court for prosecution (whether following arrest, court summons, or police notice)."
qps16_01,Property crimes cleared by arrests as a percentage of property crime,[Property crimes cleared by arrests] divided by [Total violent crime] and multiplied by 100.
qps17,Violent crimes cleared,"Total number of UCR Part I violent crime incidents cleared or closed in the fiscal year. This includes all cases cleared and closed for any reason (arrests, exceptional means, etc.)."
qps17_01,Violent crimes cleared as a percentage of violent crime,[Violent crimes cleared] divided by [Total property crimes] and multiplied by 100.
qps18,Property crimes cleared,"Total number of UCR Part I property crime incidents cleared or closed in the fiscal year. This includes all cases cleared and closed for any reason (arrests, exceptional means, etc.)."
qps18_01,Property crimes cleared as a percentage of property crime,[Property crimes cleared] divided by [Total violent crime] and multiplied by 100.
qps19,Misdemeanor arrests,Total number of physical arrests in the fiscal year where a misdemeanor charge was the highest offense. The arrests are counted by person and not by charges. This does not include issuing a uniform citation with a mandatory court date.
qps20,Felony arrests,Total number of physical arrests made in the fiscal year where a felony charge was the highest offense. The arrests are counted by person and not by charges.
qps20_01,Ratio of misdemeanor to felony arrests,[Misdemeanor arrests] divided by [Felony arrests].
qps20_02,Total arrests,[Misdemeanor arrests] + [Felony arrests].
qps21,Arrests of non-residents,Total number of arrests in the fiscal year of individuals not residing within the department's jurisdiction. Unhoused populations or people who do not provide an address are considered to be residents.
qps21_01,Non-residents arrested as a percentage of total arrests,[Arrests of non-residents] divided by [Total arrests] and multiplied by 100.
qps22,Reported DUIs,Total number of DUIs reported in the fiscal year.
qps22_01,Reported DUIs per capita,"[Reported DUIs] divided by [Population, 2020]."
qps23,Criminal citations,Total number of criminal citation incidents (not counting individual charges) issued in the fiscal year.
qps23_01,Criminal citations per capita,"[Criminal citations] divided by [Population, 2020]."
qps24,Traffic citations,Total number of traffic citation incidents (not counting individual charges) issued in the fiscal year.
qps24_01,Traffic citations per capita,"[Traffic citations] divided by [Population, 2020]."
qps25,Traffic stops,Total number of traffic stops conducted in the fiscal year.
qps25_01,Traffic stops per capita,"[Traffic stops] divided by [Population, 2020]."
qps26,Reported car crashes,Total number of DMV349 reports generated in the fiscal year.
qps26_01,Reported car crashes per capita,"[Reported car crashes] divided by [Population, 2020]."
qps26_02,Reported car crashes per lane mile,[Reported car crashes] divided by [Lane miles].
qps27,Persons served warrants,"Total number of individuals served with a warrant in the fiscal year. This includes OFAs, probation violations, outstanding warrants, and other custodial orders."
qps27_01,Persons served warrants per sworn FTE,[Persons served warrants] divided by [Approved sworn officer FTEs].
qps28,High-priority calls,"Total number of high-priority calls responded to in the fiscal year. High-priority calls are limited to in-progress shootings (including terrorist threats), bomb threats, stabbings, traffic accidents involving injury or death, burglaries and entrances (B&E), armed robberies, active abductions, physical and sexual assaults, domestic violence and abuse, and motor vehicle thefts."
qps28_01,High-priority calls per capita,"[High-priority calls] divided by [Population, 2020]."
qps29,System calls dispatched,"Total number of calls dispatched for the fiscal year, including 911 calls, walk-ins, web portal submissions, self-initiated calls, system calls that were already dispatched, scheduled dispatches, foot patrol, business checks, security checks, community events, and telephone responses. If data are not available in this format, leave blank."
qps29_01,System calls dispatched per sworn officer FTE,[System calls dispatched] divided by [Approved sworn officer FTEs].
qps30,Self-initiated dispatches,"Total number of self-initiated dispatches or responses in the fiscal year, not including administrative events (e.g., court duty, off duty) or duplicate incidents. This may pertain to foot patrol, business or security checks, community events, etc."
qps30_01,Self-initiated dispatches as a percentage of total dispatches,[Self-initiated dispatches] divided by [System calls dispatched] and multiplied by 100.
qps31,Calls dispatched generating a report,Total number of dispatched calls in the fiscal year assigned (or requested) a report number.
qps31_01,Calls dispatched generating a report as a percentage of total dispatches,[Calls dispatched generating a report] divided by [System calls dispatched] and multiplied by 100.
qps32,Self-initiated dispatches generating a report,"Total number of self-initiated dispatches or responses by police officers in the fiscal year resulting in a request for an RMS report. These calls may pertain to foot patrol, business or security checks, community events, etc. This does not include administrative events (e.g., court duty, off duty) or duplicate incidents."
qps32_01,Self-initiated dispatches generating a report as a percentage of self-initiated dispatches,[Self-initiated dispatches generating a report] divided by [Self-initiated dispatches] and multiplied by 100.
qps33,Median response time for high-priority calls,"Median time in seconds elapsed from when a high-priority call for service is received by the police department from the dispatcher or 911 center (dispatch received) to when a police unit arrives at the scene of the incident (arrival on scene). High-priority calls are limited to in-progress shootings (including terrorist threats), bomb threats, stabbings, traffic accidents involving injury or death, burglaries and entrances (B&E), armed robberies, active abductions, physical and sexual assaults, domestic violence and abuse, and motor vehicle thefts."
qps34,High-priority call responses within 10 minutes,"Total number of high-priority calls for which the time elapsed from dispatch received by the police department to arrival on scene was 10 minutes or less. High-priority calls are limited to in-progress shootings (including terrorist threats), bomb threats, stabbings, traffic accidents involving injury or death, burglaries and entrances (B&E), armed robberies, active abductions, physical and sexual assaults, domestic violence and abuse, and motor vehicle thefts."
qps34_01,Percentage of high-priority call responses within 10 minutes,[High-priority call responses within 10 minutes] divided by [High-priority calls] and multiplied by 100.
qps35,Officer injuries due to traffic accidents,Total number of on-job officer injuries due to car accidents per internal incident reports submitted to OSHA/IA in the fiscal year.
qps35_01,Officer injuries due to traffic accidents per sworn FTE,[Officer injuries due to traffic accidents] divided by [Approved sworn officer FTEs].
qps35_02,Officer injuries due to traffic accidents per dispatch,[Officer injuries due to traffic accidents] divided by [System calls dispatched].
qps36,Assaults on officers,"Total number of people charged for assaults on police officers in the fiscal year, as reported to NIBRS."
qps36_01,Assaults on officers per sworn officer FTE,[Assaults on officers] divided by [Approved sworn officer FTEs].
