Code,Name,Definition
qfm72,Operational expenses for Fleet Maintenance,"Total amount of operational expenses for the fleet maintenance department in the fiscal year. This amount includes noncapital-outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, sublet work; and all other operating expenses."
qfm01_1,Population served per class 0 vehicle,"[Total municipal population] divided by [Count of class 0 vehicles (Total number of active non-self-propelled vehicles (e.g., trailers, rail chassis, etc.) maintained in the fiscal year.)]"
qfm02_1,Population served per class 1 vehicle,"[Total municipal population] divided by [Count of class 1 vehicles (Total number of active vehicles < 6000 GVW maintained in the fiscal year. This includes ATVs, two-wheelers, side-by-side motorcycles, four-wheelers, lawn mowers, etc. )]"
qfm03_1,Population served per class 2 vehicle,"[Total municipal population] divided by [Count of class 2 vehicles (Total number of active vehicles 6001â€“10,000 GVW maintained in the fiscal year.)]"
qfm04_1,Population served per class 3 vehicle,"[Total municipal population] divided by [Count of class 3 vehicles (Total number of active vehicles 10,001â€“14,000 GVW maintained in the fiscal year.)]"
qfm05_1,Population served per class 4 vehicle,"[Total municipal population] divided by [Count of class 4 vehicles (Total number of active vehicles 14,001â€“16,000 GVW maintained in the fiscal year.)]"
qfm06_1,Population served per class 5 vehicle,"[Total municipal population] divided by [Count of class 5 vehicles (Total number of active vehicles 16,001â€“19,500 GVW maintained in the fiscal year.)]"
qfm07_1,Population served per class 6 vehicle,"[Total municipal population] divided by [Count of class 6 vehicles (Total number of active vehicles 19,501â€“26,000 GVW maintained in the fiscal year.)]"
qfm08_1,Population served per class 7 vehicle,"[Total municipal population] divided by [Count of class 7 vehicles (Total number of active vehicles 26,001â€“33,000 GVW maintained in the fiscal year.)]"
qfm09_1,Population served per class 8 vehicle,"[Total municipal population] divided by [Count of class 8 vehicles (Total number of active vehicles > 33,000 GVW maintained in the fiscal year.)]"
qfm10_1,Population served per class 9 vehicle,[Total municipal population] divided by [Count of class 9 vehicles (Total count of active off-road and construction equipment.)]
qfm11_1,Labor hours per class 0 vehicle,"[Total number of in-shop labor hours spent to repair all non-self-propelled vehicles (e.g., trailers, rail chassis, etc.).] divided by [Count of class 0 vehicles]"
qfm11_2,Class 0 VEUs,"[Total number of in-shop hours per Class 0 vehicle] divided by [Total number of in-shop labor hours spent to repair all vehicles 6001â€“10,000 GVW.]"
qfm12_1,Labor hours per class 1 vehicle,"[Total number of in-shop labor hours spent to repair all vehicles < 6000 GVW. This includes ATVs, two-wheelers, side-by-side motorcycles, four-wheelers, lawn mowers, etc. ] divided by [Total number of active vehicles < 6000 GVW maintained in the fiscal year. This includes ATVs, two-wheelers, side-by-side motorcycles, four-wheelers, lawn mowers, etc.]"
qfm12_2,Class 1 VEUs,"[Total number of in-shop labor hours per Class 1 vehicle] divided by [Total number of in-shop labor hours spent to repair all vehicles 6001â€“10,000 GVW.]"
qfm13_1,Labor hours per class 2 vehicle,"[Total number of in-shop labor hours spent to repair all vehicles 6001â€“10,000 GVW.] divided by [Total number of active vehicles 6001â€“10,000 GVW maintained in the fiscal year.]"
qfm13_2,Class 2 VEUs,"[Total number of in-shop labor hours per Class 2 vehicle] divided by [Total number of in-shop labor hours spent to repair all vehicles 6001â€“10,000 GVW.]"
qfm14_1,Labor hours per class 3 vehicle,"[Total number of in-shop labor hours spent to repair all vehicles 10,001â€“14,000 GVW.] divided by ["
qfm14_2,Class 3 VEUs,"[Total number of in-shop hours per class 3 vehicle] divided by [Total number of in-shop labor hours spent to repair all vehicles 6001â€“10,000 GVW.]"
qfm15_1,Labor hours per class 4 vehicle,"[Total number of in-shop labor hours spent to repair all vehicles 14,001â€“16,000 GVW.] divided by [Total number of active vehicles 14,001â€“16,000 GVW maintained in the fiscal year.]"
qfm15_2,Class 4 VEUs,"[Total number of in-shop hours per class 4 vehicle] divided by [Total number of in-shop labor hours spent to repair all vehicles 6001â€“10,000 GVW.]"
qfm16_1,Labor hours per class 5 vehicle,"[Total number of in-shop labor hours spent to repair all vehicles 16,001â€“19,500 GVW.] divided by [Total number of active vehicles 16,001â€“19,500 GVW maintained in the fiscal year.]"
qfm16_2,Class 5 VEUs,"[Total number of in-shop hours per class 5 vehicle] divided by [Total number of in-shop labor hours spent to repair all vehicles 6001â€“10,000 GVW.]"
qfm17_1,Labor hours per class 6 vehicle,"[Total number of in-shop labor hours spent to repair all vehicles 19,501â€“26,000 GVW.] divided by [Total number of active vehicles 19,501â€“26,000 GVW maintained in the fiscal year.]"
qfm17_2,Class 6 VEUs,"[Total number of in-shop hours per class 6 vehicle] divided by [Total number of in-shop labor hours spent to repair all vehicles 6001â€“10,000 GVW.]"
qfm18_1,Labor hours per class 7 vehicle,"[Total number of in-shop labor hours spent to repair all vehicles 26,001â€“33,000 GVW.] divided by [Total number of active vehicles 26,001â€“33,000 GVW maintained in the fiscal year.]"
qfm18_2,Class 7 VEUs,"[Total number of in-shop hours per class 7 vehicle] divided by [Total number of in-shop labor hours spent to repair all vehicles 6001â€“10,000 GVW.]"
qfm19_1,Labor hours per class 8 vehicle,"[Total number of in-shop labor hours spent to repair all vehicles > 33,000 GVW.] divided by [Total number of active vehicles > 33,000 GVW maintained in the fiscal year.]"
qfm19_2,Class 8 VEUs,"[Total number of in-shop hours per class 8 vehicle] divided by [Total number of in-shop labor hours spent to repair all vehicles 6001â€“10,000 GVW.]"
qfm20_1,Labor hours per class 9 vehicle,[Total number of in-shop labor hours spent to repair all off-road and construction equipment.] divided by [Total count of active off-road and construction equipment.]
qfm20_2,Class 9 VEUs,"[Total number of in-shop hours per class 9 vehicle] divided by [Total number of in-shop labor hours spent to repair all vehicles 6001â€“10,000 GVW.]"
qfm31_1,Repairs per class 0 vehicle,[Repairs on Class 0 vehicles] divided by [Count of Class 0 vehicles]
qfm32_1,Repairs per class 1 vehicle,[Repairs on Class 1 vehicles] divided by [Count of Class 1 vehicles]
qfm33_1,Repairs per class 2 vehicle,[Repairs on Class 2 vehicles] divided by [Count of Class 2 vehicles]
qfm34_1,Repairs per class 3 vehicle,[Repairs on Class 3 vehicles] divided by [Count of Class 3 vehicles]
qfm35_1,Repairs per class 4 vehicle,[Repairs on Class 4 vehicles] divided by [Count of Class 4 vehicles]
qfm36_1,Repairs per class 5 vehicle,[Repairs on Class 5 vehicles] divided by [Count of Class 5 vehicles]
qfm37_1,Repairs per class 6 vehicle,[Repairs on Class 6 vehicles] divided by [Count of Class 6 vehicles]
qfm38_1,Repairs per class 7 vehicle,[Repairs on Class 7 vehicles] divided by [Count of Class 7 vehicles]
qfm39_1,Repairs per class 8 vehicle,[Repairs on Class 8 vehicles] divided by [Count of Class 8 vehicles]
qfm40_1,Repairs per class 9 vehicle,[Repairs on Class 9 vehicles] divided by [Count of Class 9 vehicles]
qfm41_1,Class 1 miles per vehicle,[Total miles of all Class 1 vehicles] divided by [Count of Class 1 vehicles]
qfm42_1,Class 2 miles per vehicle,[Total miles of all Class 2 vehicles] divided by [Count of Class 2 vehicles]
qfm43_1,Class 3 miles per vehicle,[Total miles of all Class 3 vehicles] divided by [Count of Class 3 vehicles]
qfm44_1,Class 4 miles per vehicle,[Total miles of all Class 4 vehicles] divided by [Count of Class 4 vehicles]
qfm45_1,Class 5 miles per vehicle,[Total miles of all Class 5 vehicles] divided by [Count of Class 5 vehicles]
qfm46_1,Class 6 miles per vehicle,[Total miles of all Class 6 vehicles] divided by [Count of Class 6 vehicles]
qfm47_1,Class 7 miles per vehicle,[Total miles of all Class 7 vehicles] divided by [Count of Class 7 vehicles]
qfm48_1,Class 8 miles per vehicle,[Total miles of all Class 8 vehicles] divided by [Count of Class 8 vehicles]
qfm49_1,Class 9 hours per vehicle,[Total miles of all Class 9 vehicles] divided by [Count of Class 9 vehicles]
qfm50_1,Average days class 0 vehicles available,[Number of days that Class 0 vehicles are available in a fiscal year] divided by [Count of Class 0 vehicles]
qfm50_2,Average class 0 uptime,[Average days Class 0 vehicles are available] divided by 365
qfm51_1,Average days class 1 vehicles available,[Number of days that Class 1 vehicles are available in a fiscal year] divided by [Count of Class 1 vehicles]
qfm51_2,Average class 1 uptime,[Average days Class 1 vehicles are available] divided by 365
qfm52_1,Average days class 2 vehicles available,[Number of days that Class 2 vehicles are available in a fiscal year] divided by [Count of Class 2 vehicles]
qfm52_2,Average class 2 uptime,[Average days Class 2 vehicles are available] divided by 365
qfm53_1,Average days class 3 vehicles available,[Number of days that Class 3 vehicles are available in a fiscal year] divided by [Count of Class 3 vehicles]
qfm53_2,Average class 3 uptime,[Average days Class 3 vehicles are available] divided by 365
qfm54_1,Average days class 4 vehicles available,[Number of days that Class 4 vehicles are available in a fiscal year] divided by [Count of Class 4 vehicles]
qfm54_2,Average class 4 uptime,[Average days Class 4 vehicles are available] divided by 365
qfm55_1,Average days class 5 vehicles available,[Number of days that Class 5 vehicles are available in a fiscal year] divided by [Count of Class 5 vehicles]
qfm55_2,Average class 5 uptime,[Average days Class 5 vehicles are available] divided by 365
qfm56_1,Average days class 6 vehicles available,[Number of days that Class 6 vehicles are available in a fiscal year] divided by [Count of Class 6 vehicles]
qfm56_2,Average class 6 uptime,[Average days Class 6 vehicles are available] divided by 365
qfm57_1,Average days class 7 vehicles available,[Number of days that Class 7 vehicles are available in a fiscal year] divided by [Count of Class 7 vehicles]
qfm57_2,Average class 7 uptime,[Average days Class 7 vehicles are available] divided by 365
qfm58_1,Average days class 8 vehicles available,[Number of days that Class 8 vehicles are available in a fiscal year] divided by [Count of Class 8 vehicles]
qfm58_2,Average class 8 uptime,[Average days Class 8 vehicles are available] divided by 365
qfm59_1,Average days class 9 vehicles available,[Number of days that Class 9 vehicles are available in a fiscal year] divided by [Count of Class 9 vehicles]
qfm59_2,Average class 9 uptime,[Average days Class 9 vehicles are available] divided by 365
qfm60_1,Billable hours per capita,[Total billable hours for Fleet in the fiscal year] divided by [Population]
qfm61_1,Percent hours billed,[Total billed hours for Fleet in the fiscal year] divided by [Billable hours]
qfm62_1,Work orders per capita,[Total number of work orders within the fiscal year] divided by [Population}
qfm63_1,Percentage of work orders completed within twenty-four hours,[Total number of work order completed within 24 hours during the fiscal year] divided by [Work orders] multiplied by 100
qfm64_1,Percentage of work orders requiring repeat repairs within 30 days,[Total number of work orders that required a repeated repair within 30 days of this original work order] divided by [Work orders] multiplied by 100
qfm65_1,Percentage of work orders outsourced,[Total number of work orders that were completed by an external entity] divided by [Work orders] multiplied by 100
qfm66_1,Preventative maintenances scheduled per capita (x1000),"[Total number of preventative maintenances (PMs) scheduled in each category during the fiscal year, including state inspections.] divided by [Population] multiplied by 1000"
qfm67_1,Percentage of preventative maintenances completed as scheduled,[Preventative maintenances completed as scheduled] divided by [Preventative maintenance scheduled] multipled by 100
qfm68_1,Population served per approved fleet maintenance FTE,[Population] divided by [Approved fleet maintenance FTEs]
qfm71_1,Fleet maintenance personnel expenses as a percentage of total expenses,[Personnel expenses for fleet maintenance] divided by [Total expenses for fleet maintenance]
qfm72_1,Total fleet maintenance expenses,[Personnel expenses for fleet maintenance] + [Operational expenses for fleet maintenance]
qfm72_2,Total fleet maintenance expenses per capita,[Total fleet maintenance expenses] divided by [Population]
qfm72_3,Total fleet maintenance expenses per VEU,[Total fleet maintenance expenses] divided by [System Vehicle Equivalency Units (VEU)]
qfm73_1,System Vehicle Equivalency Units (VEU),[Class 0 VEUs] + [Class 1 VEUs] + [Class 2 VEUs] + [Class 3 VEUs] + [Class 4 VEUs] + [Class 5 VEUs] + [Class 6 VEUs] + [Class 7 VEUs] + [Class 8 VEUs] + [Class 9 VEUs]
qfm73_2,System VEU per approved FTE,[System Vehicle Equivalency Units (VEU)] divided by [Approved fleet maintenance FTEs]
qfm74_1,Percent system uptime,The School of Government will calculate the uptime percentage for each class and system using the following formula: [days vehicles were available in each class/(number of vehicles (in each class)*250)]*100
qpr01,Percent of population within 0.5 miles of parks and facilities,"Percentage of the population that lives within ten minutes walking distance (or 0.5 miles) from parks, open space, parks with passive recreation, or maintained facilities including recreation centers, swimming pools, courts, etc."
qpr02,Percent of population within 0.5 miles of greenways and trails,Percentage of the population that lives within ten minutes walking distance (or 0.5 miles) from all maintained greenways and trails.
qpr03,Percent of population within 2 miles of parks and facilities,"Percentage of the population that lives within five minutes driving distance (or 2 miles) from parks, open space, parks with passive recreation, or maintained facilities including recreation centers, swimming pools, courts, etc."
qpr04,Percent of population within 2 miles of greenways and trails,Percentage of the population that lives within five minutes driving distance (or 2 miles) from all maintained greenways and trails.
qpr05,Percent of tree canopy,"Percentage of municipality space covered by trees that provide shade, including greenway easements and shaded canopy. The formula is: (total tree canopy area/total municipality area) x 100."
qpr06,Volunteer hours,"Total number of unpaid volunteer hours in the fiscal year related to special events, park cleanups, and general programs involving coaches/instructors."
qpr07,Preventative maintenances completed,"Total number of scheduled maintenance work orders completed in the fiscal year for substantial recurring activities such as removing tree limbs, leak inspections in pools, playground inspections, bleacher maintenance, fitness equipment maintenance, etc. This metric does NOT include small regular activities such as grass mowing, leaf blowing, fire extinguisher inspection, gym light cleaning, or bathroom cleaning."
qpr08,Internal work orders,"Total number of maintenance requests in the fiscal year managed within the department that are to be completed (including contracted work) in the fiscal year. This metric does NOT include work orders that are completed through an external department, such as buildings & grounds or public works."
qpr09,External work orders,"Total number of maintenance requests in the fiscal year managed outside the department that are to be completed in the fiscal year. This metric includes work orders completed through an external department, such as buildings & grounds or public works, that are not the responsibility of parks and recreation."
qpr10,Internal work orders completed within 5 business days,Total number of maintenance requests in the fiscal year managed within the department (including contracted work) that are completed within five business days. This metric does not include long-term projects.
qpr11,External work orders completed within 5 business days,Total number of maintenance requests in the fiscal year managed outside the department that are completed within five business days. This metric does not include long-term projects.
qpr12,Recreational facilities participation,"Total number of people using recreational facilities, such as swimming pools, gyms, and courts for indoor sports and youth or adult league activities, etc., in the fiscal year."
qpr13,Athletic programs participation,"Total number of participants in refereed sports competitions, such as soccer, tennis, and volleyball games or running club races, in the fiscal year. Participation numbers are entered separately for each competition even if multiple competitions are part of an overall program. This metric includes contracted-provider programs as well as those provided directly by the municipality."
qpr14,Nonathletic programs participation,"Total number of participants in nonathletic programs in the fiscal year. These are registration-required programs that do not involve competition between participants, score-keeping, referees, or teams. The programs may include robotics, card-making, Zumba, exercise classes, senior programming, fitness training, pottery, cooking, ballet, art, photography, youth engagement, and special-populations programming. Participation numbers are entered separately for each nonathletic program, even if multiple programs are part of a larger program. (For example, a summer camp that includes activities in robotics and in pottery should yield two participation counts, one for robotics and one for pottery.) This metric includes contracted-provider programs as well as those provided directly by the municipality."
qpr15,Community events participation,"Total number of participants in community events. Examples of community events include movie nights and festivals. Community events do not necessarily require registration. Participation numbers are entered separately for each event, even if multiple events are a part of an overall program. This metric includes contracted-provider programs as well as those provided directly by the municipality."
qpr16,Park acreage,Total amount in acres of municipal-park land.
qpr17,Playgrounds,Total number of playgrounds in the municipality.
qpr18,Miles of greenway,Total mileage of greenways in the municipality.
qpr19,Recreation centers,Total number of recreation centers providing a variety of indoor recreation activities.
qpr20,Swimming pools,Total number of municipal swimming pools.
qpr21,Athletic fields,"Total number of rectangular fields (e.g., for soccer and football), diamond fields (baseball), and undesignated fields that can be used for multiple activities. This metric includes both natural-grass and artificial-surface fields."
qpr22,Revenue generated,"Total revenue generated by parks and recreation in the fiscal year, including all user fees for facility use, rentals, concessions, and program participation."
qpr23,Approved Parks and Recreation FTEs,"Total approved parks and recreation full-time equivalents (FTEs), filled or unfilled, for the fiscal year. This metric includes all approved, regularly scheduled full-time positions and regular part-time positions that are eligible for full benefits (but does not include seasonal or part-time positions that are not eligible for full benefits)."
qpr26,Personnel expenses for Parks and Recreation,"Total amount of personnel expenses for the parks and recreation department in the fiscal year. This amount includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unitâ€™s share of all overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurances, disability insurances, unemployment compensation, workersâ€™-compensation contributions, deferred compensation, and other benefits."
qpr27,Operational expenses for Parks and Recreation,"Total amount of operational expenses for the parks and recreation department in the fiscal year. This amount includes noncapital-outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, sublet work; and all other operating expenses."
qpr06_1,Volunteer hours per approved P&R FTE,[Volunteer hours] divided by [Approved Parks and Rec FTEs]
qpr07_1,Ratio of preventative maintenances to work orders,[Preventative maintenance completed] divided by [Total work orders]
qpr08_1,Percentage of work orders managed internally,[Internal work orders] divided by [Total work orders]
qpr09_1,Total work orders,[Internal work order] + [External work orders]
qpr09_2,Total work orders per capita,[Total work orders] divided by [population]
qpr10_1,Percentage of internal work orders completed within 5 business days,[Internal work orders completed within 5 business days] divided by [Internal work orders]
qpr11_1,Percentage of external work orders completed within 5 business days,[External work orders completed within 5 business days] divided by [External work orders]
qpr12_1,Recreational facilities participation per capita (x1000),[Recreational facilities participation] divided by [Population] multiplied by 1000
qpr13_1,Athletic programs participation per capita (x1000),[Athletic programs participation] divided by [Population] multiplied by 1000
qpr14_1,Nonathletic programs participation per capita (x1000),[Nonathletic program participation] divided by [Population] multiplied by 1000
qpr15_1,Community events participation per capita (x1000),[Community events participation] divided by [Population] multiplied by 1000
qpr16_1,Park acreage per capita (x1000),[Park acreage] divided by [Population] multiplied by 1000
qpr17_1,Playgrounds per capita (x1000),[Playgrounds] divided by [Population] multiplied by 1000
qpr18_1,Miles of greenway per capita (x1000),[Miles of greenway] divided by [Population] multiplied by 1000
qpr19_1,Recreation centers per capita (x1000),[Recreation Centers] divided by [Population] multiplied by 1000
qpr20_1,Swimming pools per capita (x1000),[Swimming Pools] divided by [Population] multiplied by 1000
qpr21_1,Athletic fields per capita (x1000),[Athletic fields] divided by [Population] multiplied by 1000
qpr22_1,Percent cost recovery,[Revenue generated] divided by [Total Parks and Rec expenses] multiplied by 100
qpr23_2,Population served per approved P&R FTE,[Population] divided by [Approved parks and recreation FTEs]
qpr26_1,P&R personnel expenses as a percentage of total expenses,[Personnel expenses for parks and recreation] divided by [Total parks and rec expenses] multiplied by 100
qpr27_1,Total P&R expenses,[Personnel expenses for parks and recreation] + [Operational expenses for parks and recreation]
qpr27_2,Total P&R expenses per capita,[Total Parks and recreation expenses] divided by [Population]
qps01,Reported aggravated assaults,Total number of reported aggravated assaults compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.
qps02,Reported rapes,Total number of reported rapes compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.
qps03,Reported murders,Total number of reported murders compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.
qps04,Reported robberies,Total number of reported robberies compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.
qps05,Reported arsons,Total number of reported arsons compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.
qps06,Reported burglaries,Total number of reported burglaries compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.
qps07,Reported larcenies,Total number of reported larcenies compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.
qps08,Reported motor vehicle thefts,Total number of reported motor-vehicle thefts compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.
qps09,System calls dispatched,"Total number of calls dispatched for the fiscal year, including 911, walk-ins, web portals, self-initiated calls, and telephone responses. If data are not available in this format, leave blank."
qps10,Self-initiated dispatches,"Total number of self-initiated calls, not including administrative events (e.g., court leave, off duty) or duplicate incidents, in the fiscal year."
qps11,High priority calls,"Total number of high priority calls responded to in the fiscal year. The department may use their own definition of high-priority. In general, we define high-priority as calls limited only to shootings (to include active shooter and terrorist threat), stabbings, traffic accidents involving injury or death, armed robberies, in-progress assaults/sexual assaults, and in-progress domestic violence/abuse."
qps12,Average response time for high-priority calls,"Average time in minutes elapsed from when a high priority call for service is received by the police department from the dispatcher or 911 center (dispatch received) to when a police unit arrives at the scene of the incident (arrival on scene). The department may use their own definition of high-priority. In general, we define high-priority as calls limited only to shootings (to include active shooter and terrorist threat), stabbings, traffic accidents involving injury or death, armed robberies, in-progress assaults/sexual assaults, and in-progress domestic violence/abuse."
qps13,High priority calls responsed within 10 minutes,"Total number of high priority calls for which the time elapsed from dispatch received by the police department to arrival on scene was 10 minutes or less. This includes the time that Priority One calls were held in a queue. The department may use their own definition of high-priority. In general, we define high-priority as calls limited only to shootings (to include active shooter and terrorist threat), stabbings, traffic accidents involving injury or death, armed robberies, in-progress assaults/sexual assaults, and in-progress domestic violence/abuse."
qps14,Reported car crashes,Total number of DMV349 reports generated in the fiscal year.
qps15,Traffic stops,Total number of traffic stops in the fiscal year.
qps16,Misdemeanor arrests,Total number of arrests in the fiscal year where a misdemeanor charge was the highest offense. Note: The arrests are counted by person and not by charges. For example: 1 person charged with 2 misdemeanors will show 1 arrest. 1 person charged with 1 misdemeanor and 2 felonies will show 1 arrest for the misdemeanor and 1 arrest for the felonies.
qps17,Felony arrests,Total number of arrests made in the fiscal year where a felony charge was the highest offense. Note: The arrests are counted by person and not by charges. For example: 1 person charged with 2 misdemeanors will show 1 arrest. 1 person charged with 1 misdemeanor and 2 felonies will show 1 arrest for the misdemeanor and 1 arrest for the felonies
qps18,Warrants served,Total number of individuals who were served with a warrant in the fiscal year.
qps19,Assaults on officers,Total number of assaults on officers as per internal incident reports submitted to OSHA/IA in the fiscal year.
qps20,Officer injuries,Total number of officer injuries as per internal incident reports submitted to OSHA/IA in the fiscal year.
qps21,Officer deaths on duty,"Total number of officer deaths on duty as entered in the FBIâ€™s LEOKA database in the fiscal year. This number includes all types of deaths, including traffic accidents."
qps22,Approved sworn officer FTEs,"Total number of approved sworn officer full-time equivalents (FTEs), filled or unfilled (including administrative positions), approved in the fiscal year. This metric includes all full-time positions and regular part-time positions that are eligible for full benefits. It does not include seasonal and part-time positions that are not eligible for full benefits."
qps25,Approved civilian FTEs,"Total approved civilian (non-sworn) full-time equivalents (FTEs), filled or unfilled (including administrative positions), for the fiscal year. This metric includes all approved, regularly scheduled full-time positions and regular part-time positions that are eligible for full benefits (but does not include seasonal or part-time positions that are not eligible for full benefits)."
qps26,Personnel expenses for Police Service,"Total amount of personnel expenses for police services in the fiscal year. This amount includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unitâ€™s share of all overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurances, disability insurances, unemployment compensation, workersâ€™-compensation contributions, deferred compensation, and other benefits."
qps27,Operational expenses for Police Service,"Total amount of operational expenses for police services in the fiscal year. This amount includes noncapital-outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, sublet work; and all other operating expenses."
qps01_1,Reported aggravated assaults per capita (x10000),"[Total number of reported aggravated assaults compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.] divided by [Population] multiplied by [10,000]"
qps02_1,Reported rapes per capita (x10000),"[Total number of reported rapes compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.] divided by [Population] multiplied by [10,000]"
qps03_1,Reported murders per capita (x10000),"[Total number of reported murders compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.] divided by [Population] multiplied by [10,000]"
qps04_1,Reported robberies per capita (x10000),"[Total number of reported robberies compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.] divided by [Population] multiplied by [10,000]"
qps04_2,Total reported violent crime,"[Total number of reported aggravated assaults, rapes, murders, and robberies compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.]"
qps05_1,Reported arsons per capita (x10000),"[Total number of reported arsons compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.] divided by [Population] multiplied by [10,000]"
qps06_1,Reported burglaries per capita (x10000),"[Total number of reported burglaries compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.] divided by [Population] multiplied by [10,000]"
qps07_1,Reported larcenies per capita (x10000),"[Total number of reported larcenies compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.] divided by [Population] multiplied by [10,000]"
qps08_1,Reported motor vehicle thefts per capita (x10000),"[Total number of reported motor-vehicle thefts compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.] divided by [Population] multiplied by [10,000]"
qps08_2,Total reported property crime,"[Total number of reported arsons, burglaries, larcenies, and motor vehicle thefts compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.]"
qps08_3,Total reported property crime per approved FTE,"[Total number of reported arsons, burglaries, larcenies, and motor vehicle thefts compiled by the National Incident-Based Reporting System (NIBRS). Use the Uniform Crime Reporting Programâ€™s Summary Reporting System (SRS) only if NIBRS is not available.] divided by [Approved sworn officer FTEs]"
qps09_1,System calls dispatched per capita,"[Total number of calls dispatched for the fiscal year, including 911, walk-ins, web portals, self-initiated calls, and telephone responses] divided by [Population] multiplied by [1]"
qps10_1,Total calls dispatched,[System calls dispatched] + [Self-initiated dispatches]
qps10_2,Percentage of self-initiated dispatches,[Total number of self-initiated calls] divided by [Total calls dispatched] multiplied by [100]
qps10_3,Total calls dispatched per capita,[Total number of system calls dispatched and self-initiated dispatches in the fiscal year] divided by [Population] multiplied by [1]
qps10_4,Total calls dispatched per approved FTE,[Total number of system calls dispatched and self-initiated dispatches in the fiscal year] divided by [Approved sworn officer FTEs] multiplied by [1]
qps11_1,Percentage of high priority calls,"[Total number of high priority calls responded to in the fiscal year. The department may use their own definition of high-priority. In general, we define high-priority as calls limited only to shootings (to include active shooter and terrorist threat), stabbings, traffic accidents involving injury or death, armed robberies, in-progress assaults/sexual assaults, and in-progress domestic violence/abuse.] divided by [Total calls dispatched] multiplied by [100]"
qps11_2,High priority calls per approved FTE,"[Total number of high priority calls responded to in the fiscal year. The department may use their own definition of high-priority. In general, we define high-priority as calls limited only to shootings (to include active shooter and terrorist threat), stabbings, traffic accidents involving injury or death, armed robberies, in-progress assaults/sexual assaults, and in-progress domestic violence/abuse.] divided by [Approved sworn officer FTEs] multiplied by [1]"
